MonthKey,CountryKey,EducationKey,QualityofLifeKey,HealthKey,EventKey,PopulationKey,Quality_of_Life,Development_Index,Human_Development_Index
1,1,129,129,144,18,129,4,3,0.514
13,1,130,130,145,31,130,4,3,0.521
25,1,131,131,146,147,131,4,3,0.528
37,1,132,132,147,155,132,4,3,0.531
49,1,133,133,148,247,133,4,3,0.543
61,1,134,134,149,256,134,4,3,0.557
73,1,135,135,150,365,135,4,3,0.566
85,1,136,136,151,372,136,4,3,0.575
97,1,137,137,152,378,137,4,3,0.579
109,1,138,138,153,501,138,4,3,0.579
121,1,139,139,154,510,139,4,3,0.595
133,1,140,140,155,625,140,4,3,0.606
145,1,141,141,156,633,141,4,3,0.616
157,1,142,142,157,640,142,4,3,0.625
169,1,143,143,158,782,143,4,3,0.632
181,1,144,144,159,785,144,4,3,0.632
1,2,1,1,16,23,1,1,1,0.894
13,2,2,2,17,35,2,1,1,0.898
25,2,3,3,18,149,3,1,1,0.896
37,2,4,4,19,156,4,1,1,0.898
49,2,5,5,20,250,5,1,1,0.898
61,2,6,6,21,257,6,1,1,0.901
73,2,7,7,22,367,7,1,1,0.903
85,2,8,8,23,375,8,1,1,0.906
97,2,9,9,24,473,9,1,1,0.913
109,2,10,10,25,502,10,1,1,0.918
121,2,11,11,26,511,11,1,1,0.921
133,2,12,12,27,626,12,1,1,0.923
145,2,13,13,28,635,13,1,1,0.926
157,2,14,14,29,643,14,1,1,0.928
169,2,15,15,30,776,15,1,1,0.929
181,2,16,16,31,786,16,1,1,0.929
1,3,81,81,96,133,81,5,3,0.381
13,3,82,82,97,141,82,5,3,0.389
25,3,83,83,98,239,83,5,3,0.4
37,3,84,84,99,242,84,5,3,0.412
49,3,85,85,100,351,85,5,3,0.419
61,3,86,86,101,360,86,5,3,0.435
73,3,87,87,102,440,87,5,3,0.438
85,3,88,88,103,463,88,5,3,0.442
97,3,89,89,104,1,89,5,3,0.448
109,3,90,90,105,571,90,5,3,0.46
121,3,91,91,106,609,91,5,3,0.464
133,3,92,92,107,700,92,5,3,0.471
145,3,93,93,108,736,93,5,3,0.475
157,3,94,94,109,766,94,5,3,0.478
169,3,95,95,110,846,95,5,3,0.48
181,3,96,96,111,887,96,5,3,0.48
1,4,65,65,80,56,65,5,3,0.432
13,4,66,66,81,1,66,5,3,0.438
25,4,67,67,82,179,67,5,3,0.445
37,4,68,68,83,216,68,5,3,0.45
49,4,69,69,84,275,69,5,3,0.452
61,4,70,70,85,310,70,5,3,0.455
73,4,71,71,86,1,71,5,3,0.472
85,4,72,72,87,1,72,5,3,0.469
97,4,73,73,88,1,73,5,3,0.477
109,4,74,74,89,527,74,5,3,0.478
121,4,75,75,90,1,75,5,3,0.477
133,4,76,76,91,652,76,5,3,0.478
145,4,77,77,92,1,77,5,3,0.481
157,4,78,78,93,1,78,5,3,0.48
169,4,79,79,94,1,79,5,3,0.48
181,4,80,80,95,1,80,5,3,0.48
1,5,33,33,48,58,33,3,2,0.737
13,5,34,34,49,103,34,3,2,0.745
25,5,35,35,50,181,35,3,2,0.746
37,5,36,36,51,218,36,3,2,0.748
49,5,37,37,52,281,37,3,2,0.748
61,5,38,38,53,313,38,3,2,0.748
73,5,39,39,54,388,39,3,2,0.755
85,5,40,40,55,397,40,3,2,0.759
97,5,41,41,56,417,41,3,2,0.756
109,5,42,42,57,529,42,3,2,0.761
121,5,43,43,58,539,43,3,2,0.766
133,5,44,44,59,655,44,3,2,0.768
145,5,45,45,60,666,45,3,2,0.771
157,5,46,46,61,671,46,3,2,0.776
169,5,47,47,62,799,47,3,2,0.779
181,5,48,48,63,808,48,3,2,0.779
1,6,49,49,64,1,49,3,2,0.717
13,6,50,50,65,59,50,3,2,0.724
25,6,51,51,66,182,51,3,2,0.731
37,6,52,52,67,1,52,3,2,0.738
49,6,53,53,68,1,53,3,2,0.745
61,6,54,54,69,1,54,3,2,0.751
73,6,55,55,70,1,55,3,2,0.76
85,6,56,56,71,1,56,3,2,0.771
97,6,57,57,72,418,57,3,2,0.779
109,6,58,58,73,1,58,3,2,0.789
121,6,59,59,74,1,59,3,2,0.789
133,6,60,60,75,1,60,3,2,0.794
145,6,61,61,76,1,61,3,2,0.797
157,6,62,62,77,668,62,2,2,0.801
169,6,63,63,78,1,63,2,2,0.804
181,6,64,64,79,1,64,2,2,0.804
1,7,113,113,128,516,113,4,2,0.482
13,7,114,114,129,106,114,4,2,0.493
25,7,115,115,130,165,115,4,2,0.498
37,7,116,116,131,205,116,4,2,0.509
49,7,117,117,132,284,117,4,2,0.522
61,7,118,118,133,315,118,4,2,0.537
73,7,119,119,134,393,119,4,2,0.545
85,7,120,120,135,399,120,4,2,0.559
97,7,121,121,136,517,121,4,2,0.568
109,7,122,122,137,532,122,4,2,0.576
121,7,123,123,138,540,123,4,2,0.583
133,7,124,124,139,656,124,4,2,0.586
145,7,125,125,140,665,125,4,2,0.588
157,7,126,126,141,673,126,4,2,0.596
169,7,127,127,142,794,127,4,2,0.602
181,7,128,128,143,803,128,4,2,0.602
1,8,17,17,32,66,17,1,1,0.9
13,8,18,18,33,121,18,1,1,0.903
25,8,19,19,34,188,19,1,1,0.906
37,8,20,20,35,230,20,1,1,0.911
49,8,21,21,36,290,21,1,1,0.912
61,8,22,22,37,324,22,1,1,0.916
73,8,23,23,38,433,23,1,1,0.919
85,8,24,24,39,457,24,1,1,0.92
97,8,25,25,40,545,25,1,1,0.918
109,8,26,26,41,567,26,1,1,0.92
121,8,27,27,42,602,27,1,1,0.921
133,8,28,28,43,692,28,1,1,0.922
145,8,29,29,44,729,29,1,1,0.924
157,8,30,30,45,762,30,1,1,0.925
169,8,31,31,46,839,31,1,1,0.926
181,8,32,32,47,877,32,1,1,0.926
1,9,97,97,112,72,97,4,2,0.624
13,9,98,98,113,126,98,4,2,0.632
25,9,99,99,114,194,99,4,2,0.64
37,9,100,100,115,232,100,4,2,0.647
49,9,101,101,116,345,101,4,2,0.659
61,9,102,102,117,354,102,4,2,0.661
73,9,103,103,118,437,103,4,2,0.671
85,9,104,104,119,458,104,4,2,0.676
97,9,105,105,120,496,105,4,2,0.681
109,9,106,106,121,569,106,4,2,0.683
121,9,107,107,122,675,107,4,2,0.688
133,9,108,108,123,697,108,4,2,0.693
145,9,109,109,124,733,109,4,2,0.696
157,9,110,110,125,764,110,3,2,0.7
169,9,111,111,126,842,111,3,2,0.704
181,9,112,112,127,881,112,3,2,0.704
